paper,transmission electron microscopy,stacking faults,scanning transmission electron microscopy,crystal defects,threading dislocations,gan,defect density,epitaxial growth,dislocation density,structural defects,cathodoluminescence,atomic-resolution imaging,misfit dislocations,2d materials,electron energy loss spectroscopy,point defects,heteroepitaxy,defect characterization,dislocations,aberration-corrected stem,gaas on si,molecular beam epitaxy,extended defects,thermal annealing,semiconductor defects,dislocation loops,planar defects,burgers vector,semiconductor heterostructures,nanostructures,tem analysis,electron probe,electronic structure,structure-property relationship,transition metal dichalcogenides,electron beam induced current,inversion domain boundaries,multicrystalline silicon,in situ tem,inversion domains,electron microscopy,electron-beam-induced current,czochralski silicon,gaas,electron energy-loss spectroscopy,metalorganic vapor phase epitaxy,transmission electron microscope,electrically active defects,nanocrystals,partial dislocations,high-resolution electron microscopy,energy dispersive x-ray spectroscopy,p-n junction,semiconductor devices,vacancy clusters,grain boundaries,epilayer,crystal structure,electron optics,atomic structure,electron diffraction,stem,silicon wafer,defect formation,dislocation tangles,photoluminescence,electrical activity,high-resolution transmission electron microscopy,quantum well,defect localization,cross-sectional tem,impurity atoms,diffusion length,chemical analysis,gaas epilayer,carrier lifetime,defect formation mechanism,high-angle annular dark-field,spatial resolution,structural analysis
Observing and measuring strain in nanostructures and devices with transmission electron microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", The evolution of elastic strain engineering in nanostructures and devices requires characterization tools that can be used to not only observe but also quantify the actual strain in a sample, whether this strain is intrinsic or applied.",,,,,,,,,,,,,,,,,Strain contrast in crystalline samples has always been one of the primary contrast mechanisms used for imaging the microstructure of a material in a transmission electron microscope (TEM).,,,,,,,"Examples are given for measuring strain in semiconductor devices using imaging, diffraction, and holographic techniques.",,,,,,,,,,,,,,,,,,,,,,,,,"In this regard, TEM is a particularly powerful tool due to its ability to spatially resolve strain information with high precision and spatial resolution.",
"Direct observation of Cu, Zn cation disorder in Cu2ZnSnS4 solar cell absorber material using aberration corrected scanning transmission electron microscopy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemical analysis of individual atom columns was carried out to determine the crystal structure and local point defect chemistry of Cu2ZnSnS4.,,,,,,,,Photoluminescence confirmed the presence of a broad donor–acceptor transition consistent with the observed cation disorder.,,,,,,,,Chemical analysis of individual atom columns was carried out to determine the crystal structure and local point defect chemistry of Cu2ZnSnS4.,,"Furthermore, electrons and holes ‘trapped’ within potential wells in close proximity have a high probability of recombining, so that the carrier lifetime is also reduced.",,,,
Direct Visualization of Local Electromagnetic Field Structures by Scanning Transmission Electron Microscopy,"In recent years, rapid progress in the development of high-speed area detectors for aberration-corrected scanning transmission electron microscopy (STEM) with sub-angstrom spatial resolution has opened new possibilities to directly image such electromagnetic field structures at very high-resolution.In this Account, we give an overview of our recent development of differential phase contrast (DPC) microscopy for aberration-corrected STEM and its application to many materials problems.",,"In recent years, rapid progress in the development of high-speed area detectors for aberration-corrected scanning transmission electron microscopy (STEM) with sub-angstrom spatial resolution has opened new possibilities to directly image such electromagnetic field structures at very high-resolution.In this Account, we give an overview of our recent development of differential phase contrast (DPC) microscopy for aberration-corrected STEM and its application to many materials problems.",,,,,,,,,"These detectors also have atomic-resolution imaging capability. | If we use DPC STEM for atomic-resolution imaging using a sub-angstrom size electron probe, it has been shown that we can directly observe the atomic electric field inside atoms within crystals and even inside single atoms, the field between the atomic nucleus and the surrounding electron cloud, which possesses information about the atomic species, local chemical bonding and charge redistribution between bonded atoms.",,,,,,,,"In recent years, rapid progress in the development of high-speed area detectors for aberration-corrected scanning transmission electron microscopy (STEM) with sub-angstrom spatial resolution has opened new possibilities to directly image such electromagnetic field structures at very high-resolution.In this Account, we give an overview of our recent development of differential phase contrast (DPC) microscopy for aberration-corrected STEM and its application to many materials problems.",,,,,,,,,,"This possibility may open an alternative way for directly visualizing atoms and nanostructures, that is, seeing atoms as an entity of electromagnetic fields that reflect the intra- and interatomic electronic structures.",,"If we use DPC STEM for atomic-resolution imaging using a sub-angstrom size electron probe, it has been shown that we can directly observe the atomic electric field inside atoms within crystals and even inside single atoms, the field between the atomic nucleus and the surrounding electron cloud, which possesses information about the atomic species, local chemical bonding and charge redistribution between bonded atoms.","This possibility may open an alternative way for directly visualizing atoms and nanostructures, that is, seeing atoms as an entity of electromagnetic fields that reflect the intra- and interatomic electronic structures.",,,,,,,,"In recent years, rapid progress in the development of high-speed area detectors for aberration-corrected scanning transmission electron microscopy (STEM) with sub-angstrom spatial resolution has opened new possibilities to directly image such electromagnetic field structures at very high-resolution.In this Account, we give an overview of our recent development of differential phase contrast (DPC) microscopy for aberration-corrected STEM and its application to many materials problems.",,,"For example, DPC STEM can clearly visualize the local electric field variation due to the abrupt potential change across a p-n junction in a GaAs semiconductor, which cannot be observed by normal in-focus bright-field or annular type dark-field STEM imaging modes.",,,,,,,,,"For example, DPC STEM can clearly visualize the local electric field variation due to the abrupt potential change across a p-n junction in a GaAs semiconductor, which cannot be observed by normal in-focus bright-field or annular type dark-field STEM imaging modes.",,,,,,,,,"In recent years, rapid progress in the development of high-speed area detectors for aberration-corrected scanning transmission electron microscopy (STEM) with sub-angstrom spatial resolution has opened new possibilities to directly image such electromagnetic field structures at very high-resolution.In this Account, we give an overview of our recent development of differential phase contrast (DPC) microscopy for aberration-corrected STEM and its application to many materials problems. | In recent years, we have developed segmented-type STEM detectors which divide the detector plane into 16 segments and enable simultaneous imaging of 16 STEM images which are sensitive to the positions and angles of transmitted/scattered electrons on the detector plane. | Using these segmented-type STEM detectors, we show DPC STEM imaging to be a very powerful tool for directly imaging local electromagnetic field structures in materials and devices in real space. | For example, DPC STEM can clearly visualize the local electric field variation due to the abrupt potential change across a p-n junction in a GaAs semiconductor, which cannot be observed by normal in-focus bright-field or annular type dark-field STEM imaging modes. | DPC STEM is also very effective for imaging magnetic field structures in magnetic materials, such as magnetic domains and skyrmions. | If we use DPC STEM for atomic-resolution imaging using a sub-angstrom size electron probe, it has been shown that we can directly observe the atomic electric field inside atoms within crystals and even inside single atoms, the field between the atomic nucleus and the surrounding electron cloud, which possesses information about the atomic species, local chemical bonding and charge redistribution between bonded atoms. | In this Account, the current status of aberration-corrected DPC STEM is highlighted, along with some applications in real material and device studies.",,,,,,,,,,,,,,,,,"In recent years, rapid progress in the development of high-speed area detectors for aberration-corrected scanning transmission electron microscopy (STEM) with sub-angstrom spatial resolution has opened new possibilities to directly image such electromagnetic field structures at very high-resolution.In this Account, we give an overview of our recent development of differential phase contrast (DPC) microscopy for aberration-corrected STEM and its application to many materials problems.",
Imaging and spectroscopy of defects in semiconductors using aberration-corrected STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Today, electron probes with diameters well below 1 Å are available thanks to the improved electron optics.",,,,,,,,,,,,,Simultaneous acquisition of image signals and electron energy-loss spectroscopy data provides means of characterization of defect structures in semiconductors with unprecedented detail. | Electron energy-loss spectroscopy shows significant changes of the silicon valence state across the interface structure.,,The sensitivity to detect and localize such single atoms has been greatly improved by the development of aberration correctors for scanning transmission electron microscopes.,,,,,,,,,,,,"Today, electron probes with diameters well below 1 Å are available thanks to the improved electron optics.",,,,,,,,,,,,,The distribution of single dopant or impurity atoms can dramatically alter the properties of semiconductor materials.,,,,,,,"In addition to an improvement of the lateral spatial resolution, depth sensitivity is greatly enhanced because of the availability of larger probe forming angles.",
Observation of [100] and [010] dark line defects in optically degraded znsse-based leds by transmission electron microscopy,We have used transmission electron microscopy to study the [100] and [010] dark line defects (DLDs) produced after photodegradation of a ZnSSe-based/GaAs heterostructure.,"Our results also show that after photodegradation the grownin or pre-existing Frank-type stacking faults become tangles of dislocations. | In contrast, the Shockley-type stacking faults remained unchanged for the photodegradation conditions studied indicating that they are more resistant to photodegradation than the Frank-type stacking faults. | Our results suggest that the Frank-type stacking faults are the sources of the DLDs.",,,,,,,,,,,,,,,,,Our results also show that after photodegradation the grownin or pre-existing Frank-type stacking faults become tangles of dislocations.,,,,,,,Our results show that the DLDs are networks of elongated dislocation loops or half-loops that originate in the quantum well region during device operation. | Upon further illumination the dislocation loops bounding the vacancies grow by gliding on {111} planes and become hairpin-like dislocation loops.,,,,,,,,,,,,,,,We have used transmission electron microscopy to study the [100] and [010] dark line defects (DLDs) produced after photodegradation of a ZnSSe-based/GaAs heterostructure.,,,We have used transmission electron microscopy to study the [100] and [010] dark line defects (DLDs) produced after photodegradation of a ZnSSe-based/GaAs heterostructure.,,,,,,,,,,,,,,,,,,,,,,,,,Our results show that the DLDs are networks of elongated dislocation loops or half-loops that originate in the quantum well region during device operation.,,,,,,,,,,,
Transmission electron microscopy evidence of the defect structure in Si nanowires synthesized by laser ablation,"Using electron diffraction and high-resolution transmission electron microscopy (HRTEM), we have characterized the microstructure of the Si nanowires synthesized by laser ablation at high temperature.",High density of stacking faults and twins have been observed in the Si core of the nanowires.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Using electron diffraction and high-resolution transmission electron microscopy (HRTEM), we have characterized the microstructure of the Si nanowires synthesized by laser ablation at high temperature.",,,,,,,,,,,,,,,,,,,,"Using electron diffraction and high-resolution transmission electron microscopy (HRTEM), we have characterized the microstructure of the Si nanowires synthesized by laser ablation at high temperature. | As identified by electron diffraction and HRTEM, the nanowire axes are generally along the 〈211〉 direction.",,,,,,,"Using electron diffraction and high-resolution transmission electron microscopy (HRTEM), we have characterized the microstructure of the Si nanowires synthesized by laser ablation at high temperature.",,,,,,,,,,,,
Transmission electron microscopy study of hydrogen defect formation at extended defects in hydrogen plasma treated multicrystalline silicon,,Hydrogen induced structural defects on bulk dislocations and on dislocations in twin grain boundaries and stacking faults are found several microns below the sample surface.,,,,,,,,Hydrogen induced structural defects on bulk dislocations and on dislocations in twin grain boundaries and stacking faults are found several microns below the sample surface. | It is concluded that (i) the passivation efficiency of multicrystalline silicon substrates after H plasma treatment can be limited by the formation of hydrogen induced structural defects and that (ii) such defects can be used to getter unwanted impurities upon high temperature processing of the Si wafers.,,,,,,,,,Hydrogen induced structural defects on bulk dislocations and on dislocations in twin grain boundaries and stacking faults are found several microns below the sample surface.,,,,,,,,,,,,,,,,,,,Hydrogenation of multicrystalline silicon for solar cell applications is considered to be an effective method of increasing the lifetime by passivating defects and impurities. | Hydrogen plasma treated as-cut and chemically etched multicrystalline silicon samples have been studied by electron microscopy in order to investigate hydrogen defect formation at extended bulk defects. | It is concluded that (i) the passivation efficiency of multicrystalline silicon substrates after H plasma treatment can be limited by the formation of hydrogen induced structural defects and that (ii) such defects can be used to getter unwanted impurities upon high temperature processing of the Si wafers.,,,Hydrogen plasma treated as-cut and chemically etched multicrystalline silicon samples have been studied by electron microscopy in order to investigate hydrogen defect formation at extended bulk defects.,,,,,,,,,,,,,,,Hydrogen induced structural defects on bulk dislocations and on dislocations in twin grain boundaries and stacking faults are found several microns below the sample surface.,,,,,,,,Hydrogen plasma treated as-cut and chemically etched multicrystalline silicon samples have been studied by electron microscopy in order to investigate hydrogen defect formation at extended bulk defects.,,,,,,,,,,,,,,,,
Comparative studies of defects in GaAs on silicon substrates using electron‐beam‐induced current and transmission electron microscopy,"We report the use of electron‐beam‐induced current imaging and transmission electron microscopy techniques to examine defects in heteroepitaxial films of GaAs on Si. | Furthermore, in a comparative study of the microstructural character of defects using transmission electron microscopy, we have also identified corresponding regions of high and low defect density. | Moreover, it has been demonstrated that an electron‐beam‐induced current technique is an appropriate alternative to transmission electron microscopy in delineating the contribution and distribution of electrically active of defects in large‐area heteroepitaxial GaAs on silicon samples.",,,,,,"Relatively large areas of dark contrast corresponding to regions of high defect density (enhanced recombination) have been identified. | Furthermore, in a comparative study of the microstructural character of defects using transmission electron microscopy, we have also identified corresponding regions of high and low defect density.",,,,,,,,,,,,,,"We report the use of electron‐beam‐induced current imaging and transmission electron microscopy techniques to examine defects in heteroepitaxial films of GaAs on Si. | Moreover, it has been demonstrated that an electron‐beam‐induced current technique is an appropriate alternative to transmission electron microscopy in delineating the contribution and distribution of electrically active of defects in large‐area heteroepitaxial GaAs on silicon samples.",,,,,,,,,,,,,,,,,,,,"We report the use of electron‐beam‐induced current imaging and transmission electron microscopy techniques to examine defects in heteroepitaxial films of GaAs on Si. | Furthermore, in a comparative study of the microstructural character of defects using transmission electron microscopy, we have also identified corresponding regions of high and low defect density. | Moreover, it has been demonstrated that an electron‐beam‐induced current technique is an appropriate alternative to transmission electron microscopy in delineating the contribution and distribution of electrically active of defects in large‐area heteroepitaxial GaAs on silicon samples.",,,"We report the use of electron‐beam‐induced current imaging and transmission electron microscopy techniques to examine defects in heteroepitaxial films of GaAs on Si. | The electron‐beam‐induced current method has been successfully applied to obtain dark spot micrographs revealing the distribution of electrically active defects in the GaAs epilayer. | The role of electrically active defects in determining the minority carrier lifetimes and diffusion lengths in the GaAs epilayer is also discussed. | Moreover, it has been demonstrated that an electron‐beam‐induced current technique is an appropriate alternative to transmission electron microscopy in delineating the contribution and distribution of electrically active of defects in large‐area heteroepitaxial GaAs on silicon samples.",,,,The electron‐beam‐induced current method has been successfully applied to obtain dark spot micrographs revealing the distribution of electrically active defects in the GaAs epilayer. | The role of electrically active defects in determining the minority carrier lifetimes and diffusion lengths in the GaAs epilayer is also discussed.,,,,,,,,,The electron‐beam‐induced current method has been successfully applied to obtain dark spot micrographs revealing the distribution of electrically active defects in the GaAs epilayer. | The role of electrically active defects in determining the minority carrier lifetimes and diffusion lengths in the GaAs epilayer is also discussed.,,,,,,,,,,,,,,,,The role of electrically active defects in determining the minority carrier lifetimes and diffusion lengths in the GaAs epilayer is also discussed.,,The electron‐beam‐induced current method has been successfully applied to obtain dark spot micrographs revealing the distribution of electrically active defects in the GaAs epilayer. | The role of electrically active defects in determining the minority carrier lifetimes and diffusion lengths in the GaAs epilayer is also discussed.,The role of electrically active defects in determining the minority carrier lifetimes and diffusion lengths in the GaAs epilayer is also discussed.,,,,
Recent Advances in Electron Tomography: TEM and HAADF-STEM Tomography for Materials Science and Semiconductor Applications,"In this article, we evaluate the capabilities and limitations of transmission electron microscopy (TEM) and high-angle-annular-dark-field scanning transmission electron microscopy (HAADF-STEM) tomography for the 3D structural characterization of partially crystalline to highly crystalline materials.",,"In this article, we evaluate the capabilities and limitations of transmission electron microscopy (TEM) and high-angle-annular-dark-field scanning transmission electron microscopy (HAADF-STEM) tomography for the 3D structural characterization of partially crystalline to highly crystalline materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In this article, we evaluate the capabilities and limitations of transmission electron microscopy (TEM) and high-angle-annular-dark-field scanning transmission electron microscopy (HAADF-STEM) tomography for the 3D structural characterization of partially crystalline to highly crystalline materials.",,,,,,,,,,,,,"Our analysis of catalysts, a hydrogen storage material, and different semiconductor devices shows that features with a diameter as small as 1–2 nm can be resolved in three dimensions by electron tomography. | HAADF-STEM tomography is more versatile and can also be used for high-resolution 3D imaging of highly crystalline materials such as semiconductor devices.",,,,,,,,"In this article, we evaluate the capabilities and limitations of transmission electron microscopy (TEM) and high-angle-annular-dark-field scanning transmission electron microscopy (HAADF-STEM) tomography for the 3D structural characterization of partially crystalline to highly crystalline materials. | HAADF-STEM tomography is more versatile and can also be used for high-resolution 3D imaging of highly crystalline materials such as semiconductor devices.",,,,,,,,,,,,,,,,,,
High Resolution Scanning Transmission Electron Microscopy (S/TEM) Investigation Of Common Defects In Scandium and Aluminum Alloyed β-Ga2O3,,,,,,"Most important among these is a band gap around 4.8 eV, which is 1.4 eV greater than the most well-known and widely used UWBG semiconductor, GaN [3]. | of Merit, which judges viability for application to power electronics, is also nearly four times greater than GaN [1].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"However, the material’s most fundamental constraint is a lack of knowledge about defect formation, behavior, and their impact on properties.",,,,,,,,,,,,,,,,
Defects at nanoscale semiconductor interfaces: Challenges and opportunities,,,,,,,,,,,,,,,,The past 75 years has been an exciting and dynamic time for solid-state electronic materials with advanced micro- and optoelectronic properties but point defects at semiconductor–metal interfaces that limit their operation have been a challenge to understand and control.,,,,,,,,,,,,,,,,,"These defects depend strongly on chemical structure at the intimate interface, and techniques have now developed to learn how their presence at nanoscale dimensions impact electronic structure at the macroscale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Characterization of microstructure and defects in epitaxial ZnO (112¯0)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">2</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> films on Al2O3 (11¯02)<math><mrow is=""true""><mo stretchy=""false"" is=""true"">(</mo><mn is=""true"">1</mn><mspace width="".25em"" is=""true""></mspace><mrow is=""true""><mover accent=""true"" is=""true""><mrow is=""true""><mn is=""true"">1</mn></mrow><mo is=""true"">¯</mo></mover></mrow><mspace width="".25em"" is=""true""></mspace><mn is=""true"">0</mn><mspace width="".25em"" is=""true""></mspace><mn is=""true"">2</mn><mo stretchy=""false"" is=""true"">)</mo></mrow></math> substrates by transmission electron microscopy",Microstructure and defects in nonpolar ZnO (112¯0) films with different thicknesses were studied by transmission electron microscopy.,"In addition to the perfect threading dislocations, stacking faults on (0001) planes were observed.",,,"As increasing the film thickness, the diagonal defect was seldom observed and the threading dislocations (in addition to the misfit dislocations) were being the major defects. | In addition to the perfect threading dislocations, stacking faults on (0001) planes were observed.",,,,"The dislocation densities of the 240nm-thick ZnO film were determined to be ∼7.3×1010cm−2 for the dislocations with 〈0001〉 Burgers vector and ∼6.1×109cm−2 for the 13〈112¯0〉 Burgers vector, resulting in the total dislocation density of ∼7.9×1010cm−2.",,,,"The misfit dislocations were observed at the interface with regularly spaced configurations, which were well agreed with the equilibrium spacing of the misfit dislocations calculated based on the lattice misfits. | The diagonal defect along the ZnO [101¯0] and [011¯0] directions and the misfit dislocations were mainly observed in the 30nm-thick ZnO film. | As increasing the film thickness, the diagonal defect was seldom observed and the threading dislocations (in addition to the misfit dislocations) were being the major defects.",,,,,,"The misfit dislocations were observed at the interface with regularly spaced configurations, which were well agreed with the equilibrium spacing of the misfit dislocations calculated based on the lattice misfits. | The diagonal defect along the ZnO [101¯0] and [011¯0] directions and the misfit dislocations were mainly observed in the 30nm-thick ZnO film. | As increasing the film thickness, the diagonal defect was seldom observed and the threading dislocations (in addition to the misfit dislocations) were being the major defects. | The dislocation densities of the 240nm-thick ZnO film were determined to be ∼7.3×1010cm−2 for the dislocations with 〈0001〉 Burgers vector and ∼6.1×109cm−2 for the 13〈112¯0〉 Burgers vector, resulting in the total dislocation density of ∼7.9×1010cm−2. | In addition to the perfect threading dislocations, stacking faults on (0001) planes were observed. | The type of stacking fault was determined to be a type-I1 intrinsic stacking fault having the stacking sequence of (AB‘ABC’BC), which has the Frank partial dislocations with the Burgers vector of 16[022¯3] at the end.",,,The ZnO films were grown on Al2O3 (11¯02) substrates by plasma-assisted molecular beam epitaxy.,,,,,,"The dislocation densities of the 240nm-thick ZnO film were determined to be ∼7.3×1010cm−2 for the dislocations with 〈0001〉 Burgers vector and ∼6.1×109cm−2 for the 13〈112¯0〉 Burgers vector, resulting in the total dislocation density of ∼7.9×1010cm−2. | The type of stacking fault was determined to be a type-I1 intrinsic stacking fault having the stacking sequence of (AB‘ABC’BC), which has the Frank partial dislocations with the Burgers vector of 16[022¯3] at the end.",,,,,,,,,,,,,Microstructure and defects in nonpolar ZnO (112¯0) films with different thicknesses were studied by transmission electron microscopy.,,,,,,,,,"The type of stacking fault was determined to be a type-I1 intrinsic stacking fault having the stacking sequence of (AB‘ABC’BC), which has the Frank partial dislocations with the Burgers vector of 16[022¯3] at the end.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission electron microscopy and cathodoluminescence studies of extended defects in electron-beam-pumped Zn1−xCdxSe/ZnSe blue-green lasers,"To establish a direct correlation between the local luminescence properties and the presence of structural defects, the same thin foil samples were sequentially examined by transmission electron microscopy (TEM) and cathodoluminescence (CL) microscopy.","Stacking faults, as a rule, did not give rise per se to non-radiative recombination centers.",,,The majority of the non-radiative defects were found to have one or more threading dislocations in their vicinity.,,,,,"To establish a direct correlation between the local luminescence properties and the presence of structural defects, the same thin foil samples were sequentially examined by transmission electron microscopy (TEM) and cathodoluminescence (CL) microscopy.","To establish a direct correlation between the local luminescence properties and the presence of structural defects, the same thin foil samples were sequentially examined by transmission electron microscopy (TEM) and cathodoluminescence (CL) microscopy.",,,,,,,,The majority of the non-radiative defects were found to have one or more threading dislocations in their vicinity.,,,,We report on studies of extended defects in electron-beam-pumped Zn1−xCdxSe/ZnSe blue and blue-green laser structures.,,,,,,,,,,,,,,,,,,"To establish a direct correlation between the local luminescence properties and the presence of structural defects, the same thin foil samples were sequentially examined by transmission electron microscopy (TEM) and cathodoluminescence (CL) microscopy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structure Analysis of Nanowires and Nanobelts by Transmission Electron Microscopy,"Using ZnO, CdSe, and ZnS as examples, this work addresses the technical details of how to use transmission electron microscopy to correctly analyze the structure of nanowires and nanobelts, including growth direction, side/top surfaces, surface polar direction, surface reconstruction, point defects, dislocations, planar defects, and twin/bicrystal structures.",,,,,,,,,,,,,,,"Using ZnO, CdSe, and ZnS as examples, this work addresses the technical details of how to use transmission electron microscopy to correctly analyze the structure of nanowires and nanobelts, including growth direction, side/top surfaces, surface polar direction, surface reconstruction, point defects, dislocations, planar defects, and twin/bicrystal structures.",,,"Using ZnO, CdSe, and ZnS as examples, this work addresses the technical details of how to use transmission electron microscopy to correctly analyze the structure of nanowires and nanobelts, including growth direction, side/top surfaces, surface polar direction, surface reconstruction, point defects, dislocations, planar defects, and twin/bicrystal structures.",,,,,,,,"Using ZnO, CdSe, and ZnS as examples, this work addresses the technical details of how to use transmission electron microscopy to correctly analyze the structure of nanowires and nanobelts, including growth direction, side/top surfaces, surface polar direction, surface reconstruction, point defects, dislocations, planar defects, and twin/bicrystal structures.",,,"One-dimensional (1D) nanostructures, such as nanowires, nanobelts, and nanorods, are attracting a great deal of research interest due to their unique properties and novel applications. | Structure analysis of 1D nanostructures is an essential part of research because achieving structural control is the key step in controlling properties and device performances. | The methodologies introduced can be applied to a wide range of 1D nanostructures.",,,,,,,,,,,"Using ZnO, CdSe, and ZnS as examples, this work addresses the technical details of how to use transmission electron microscopy to correctly analyze the structure of nanowires and nanobelts, including growth direction, side/top surfaces, surface polar direction, surface reconstruction, point defects, dislocations, planar defects, and twin/bicrystal structures.",,,,,,,,,,,,,,,,,"Using ZnO, CdSe, and ZnS as examples, this work addresses the technical details of how to use transmission electron microscopy to correctly analyze the structure of nanowires and nanobelts, including growth direction, side/top surfaces, surface polar direction, surface reconstruction, point defects, dislocations, planar defects, and twin/bicrystal structures.",,,,,,,,,,,,,,,,,,,,,,
